animal_id,datetime_intake,found_location,intake_type,intake_condition,animal_type_intake,breed_intake,color_intake,datetime_outcome,date_of_birth,binary_outcome,neuter_status_intake,sex,neuter_status_outcome,age_upon_intake_days,age_upon_outcome_days,time_in_shelter,month_intake,month_outcome,time_in_shelter_days,found_city,animal_breed,animal_color
A813851,2020-02-19 16:11:00,3001 Del Curto Rd in Austin (TX),Stray,Normal,Cat,Domestic Shorthair,Black/White,2020-02-23 12:06:00,2014-02-19 00:00:00,False,Neutered,Male,Neutered,2190,2190.0,3 days 19:55:00.000000000,2,2,3.0,Austin (TX),Domestic Mixed Dog,Black
A813849,2020-02-19 15:55:00,Jonestown (TX),Owner Surrender,Normal,Cat,Siamese Mix,Blue Point,2020-03-08 16:54:00,2019-02-19 00:00:00,False,Neutered,Male,Neutered,365,365.0,18 days 00:59:00.000000000,2,3,18.0,Jonestown (TX),other,Blue
A813847,2020-02-19 14:02:00,Teri Rd And Table Top Rd in Austin (TX),Stray,Injured,Dog,Basset Hound Mix,Brown/Black,2020-02-25 18:14:00,2017-02-19 00:00:00,False,Not neutered,Male,Neutered,1095,1095.0,6 days 04:12:00.000000000,2,2,6.0,Austin (TX),other,Brown
A813844,2020-02-19 12:51:00,Austin (TX),Owner Surrender,Normal,Dog,Wire Hair Fox Terrier,Black/Brown,2020-02-25 11:36:00,2006-02-19 00:00:00,False,Not neutered,Female,Not neutered,5110,5110.0,5 days 22:45:00.000000000,2,2,5.0,Austin (TX),other,Black
A813843,2020-02-19 12:51:00,Austin (TX),Owner Surrender,Normal,Dog,Pembroke Welsh Corgi Mix,Tan/White,2020-02-25 11:36:00,2011-02-19 00:00:00,False,Neutered,Male,Neutered,3285,3285.0,5 days 22:45:00.000000000,2,2,5.0,Austin (TX),other,Tan
A813840,2020-02-19 12:51:00,Austin (TX),Owner Surrender,Normal,Dog,Pembroke Welsh Corgi Mix,Tan/White,2020-03-05 13:35:00,2011-02-19 00:00:00,False,Neutered,Male,Neutered,3285,3285.0,15 days 00:44:00.000000000,2,3,15.0,Austin (TX),other,Tan
A813835,2020-02-19 12:59:00,15201 Burnet Rd in Austin (TX),Wildlife,Sick,Other,Coyote,Brown,2020-02-23 09:08:00,2018-02-19 00:00:00,True,Not neutered,,Not neutered,730,730.0,3 days 20:09:00.000000000,2,2,3.0,Austin (TX),other,Brown
A813834,2020-02-19 12:47:00,7201 Levander Loop in Austin (TX),Abandoned,Normal,Dog,Border Collie,Black/White,2020-02-19 13:10:00,2018-11-19 00:00:00,False,Not neutered,Male,Not neutered,365,365.0,0 days 00:23:00.000000000,2,2,0.0,Austin (TX),other,Black
A813833,2020-02-19 11:55:00,Travis (TX),Owner Surrender,Normal,Dog,Catahoula Mix,Brown/White,2020-03-04 11:56:00,2015-10-19 00:00:00,False,Not neutered,Male,Neutered,1460,1460.0,14 days 00:01:00.000000000,2,3,14.0,Travis (TX),Catahoula,Brown
A813830,2020-02-19 12:03:00,979 Springdale Road in Austin (TX),Stray,Normal,Dog,American Bulldog,Blue/White,2020-02-25 14:52:00,2019-02-21 00:00:00,False,Not neutered,Male,Not neutered,335,365.0,6 days 02:49:00.000000000,2,2,6.0,Austin (TX),other,Blue
A813829,2020-02-19 11:52:00,Travis (TX),Owner Surrender,Nursing,Dog,Chihuahua Shorthair Mix,Brown,2020-03-24 12:43:00,2020-02-18 00:00:00,False,Not neutered,Male,Not neutered,1,35.0,34 days 00:51:00.000000000,2,3,34.0,Travis (TX),Chihuahua ,Brown
